date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:59:42	38495/38495	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2004:34:44%20GMT	https://templates.hibootstrap.com/nedo/default/index.html	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/index.html	(from )
17:59:43	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2012:29:42%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
17:59:45	4597/4597	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c6e-1706%22	https://templates.hibootstrap.com/nedo/default/assets/css/flaticon.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/flaticon.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
17:59:45	163831/163831	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c6e-27ff7%22	https://templates.hibootstrap.com/nedo/default/assets/css/bootstrap.min.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
17:59:46	96399/96399	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c70-1788f%22	https://templates.hibootstrap.com/nedo/default/assets/css/remixicon.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/remixicon.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
17:59:46	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c70-d1c%22	https://templates.hibootstrap.com/nedo/default/assets/css/owl.carousel.min.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
17:59:48	13039/13039	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c6e-3302%22	https://templates.hibootstrap.com/nedo/default/assets/css/fancybox.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/fancybox.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
17:59:49	32136/32136	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c70-7d88%22	https://templates.hibootstrap.com/nedo/default/assets/css/jquery-ui-min.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/jquery-ui-min.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
17:59:50	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c6e-65c5%22	https://templates.hibootstrap.com/nedo/default/assets/css/aos.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/aos.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
17:59:51	123593/123593	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c71-26ad1%22	https://templates.hibootstrap.com/nedo/default/assets/css/style.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/style.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
17:59:52	7635/7635	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c6e-23e9%22	https://templates.hibootstrap.com/nedo/default/assets/css/dark-theme.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/dark-theme.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
17:59:53	27663/27663	---MCZ	200	added ('OK')	text/css	etag:W/%2262428c70-8a9a%22	https://templates.hibootstrap.com/nedo/default/assets/css/responsive.css	/Users/mehulkalathiya/websites/nedo/templates.hibootstrap.com/nedo/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/nedo/default/index.html)
